"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"A1","VDDUSB","Power","","","","","","","","","","","","","","","","","",""
"A2","PA14 (JTCK-SWCLK)","I/O","","","SYS_JTCK-SWCLK","LPTIM1_OUT","","","I2C1_SMBA","","","","","","","","SWPMI1_RX","SAI1_FS_B","","EVENTOUT"
"A3","PB3 (JTDO-TRACESWO)","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","SPI3_SCK","USART1_DE/USART1_RTS","","","","LCD_SEG7","","SAI1_SCK_B","","EVENTOUT"
"A4","PB4 (NJTRST)","I/O","","","SYS_JTRST","","","","I2C3_SDA","SPI1_MISO","SPI3_MISO","USART1_CTS","","TSC_G2_IO1","","LCD_SEG8","","SAI1_MCLK_B","","EVENTOUT"
"A5","PH3-BOOT0","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"A6","VSS","Power","","","","","","","","","","","","","","","","","",""
"A7","VDD","Power","","","","","","","","","","","","","","","","","",""
"B1","VSS","Power","","","","","","","","","","","","","","","","","",""
"B2","PA13 (JTMS-SWDIO)","I/O","","","SYS_JTMS-SWDIO","IR_OUT","","","","","","","","","USB_NOE","","SWPMI1_TX","SAI1_SD_B","","EVENTOUT"
"B3","PA15 (JTDI)","I/O","","","SYS_JTDI","TIM2_CH1","TIM2_ETR","USART2_RX","","SPI1_NSS","SPI3_NSS","USART3_DE/USART3_RTS","","","","LCD_SEG17","SWPMI1_SUSPEND","","","EVENTOUT"
"B4","PB5","I/O","","","","LPTIM1_IN1","","","I2C1_SMBA","SPI1_MOSI","SPI3_MOSI","USART1_CK","","TSC_G2_IO2","","LCD_SEG9","COMP2_OUT","SAI1_SD_B","TIM16_BKIN","EVENTOUT"
"B5","PB8","I/O","","","","","","","I2C1_SCL","","","","","CAN1_RX","","LCD_SEG16","","SAI1_MCLK_A","TIM16_CH1","EVENTOUT"
"B6","VBAT","Power","","","","","","","","","","","","","","","","","",""
"B7","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C1","PA11","I/O","","","","TIM1_CH4","TIM1_BKIN2","","","SPI1_MISO","COMP1_OUT","USART1_CTS","","CAN1_RX","USB_DM","","TIM1_BKIN2_COMP1","","","EVENTOUT"
"C2","PA10","I/O","","","","TIM1_CH3","","","I2C1_SDA","","","USART1_RX","","","CRS_SYNC","LCD_COM2","","SAI1_SD_A","","EVENTOUT"
"C3","PA12","I/O","","","","TIM1_ETR","","","","SPI1_MOSI","","USART1_DE/USART1_RTS","","CAN1_TX","USB_DP","","","","","EVENTOUT"
"C4","PB6","I/O","","","","LPTIM1_ETR","","","I2C1_SCL","","","USART1_TX","","TSC_G2_IO3","","","","SAI1_FS_B","TIM16_CH1N","EVENTOUT"
"C5","PB9","I/O","","","","IR_OUT","","","I2C1_SDA","SPI2_NSS","","","","CAN1_TX","","LCD_COM3","","SAI1_FS_A","","EVENTOUT"
"C6","PC15-OSC32_OUT (PC15)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"C7","PC14-OSC32_IN (PC14)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D1","PA8","I/O","","","RCC_MCO","TIM1_CH1","","","","","","USART1_CK","","","","LCD_COM0","SWPMI1_IO","SAI1_SCK_A","LPTIM2_OUT","EVENTOUT"
"D2","PA9","I/O","","","","TIM1_CH2","","","I2C1_SCL","","","USART1_TX","","","","LCD_COM1","","SAI1_FS_A","TIM15_BKIN","EVENTOUT"
"D3","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","","","SPI2_MOSI","","","","TSC_G1_IO4","","LCD_SEG15","SWPMI1_SUSPEND","SAI1_SD_A","TIM15_CH2","EVENTOUT"
