"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6"
"1","BOOT0","Boot","","","","","","","","",""
"2","PF0-OSC_IN","I/O","","","","I2C1_SDA","","","","",""
"3","PF1-OSC_OUT","I/O","","","","I2C1_SCL","","","","",""
"4","NRST","Reset","","","","","","","","",""
"5","VDDA","Power","","","","","","","","",""
"6","PA0","I/O","","","","USART2_CTS","","","","",""
"7","PA1","I/O","","","EVENTOUT","USART2_DE/USART2_RTS","","","","",""
"8","PA2","I/O","","","","USART2_TX","","","","",""
"9","PA3","I/O","","","","USART2_RX","","","","",""
"10","PA4","I/O","","","SPI1_NSS","USART2_CK","USB_NOE","","TIM14_CH1","",""
"11","PA5","I/O","","","SPI1_SCK","","","","","",""
"12","PA6","I/O","","","SPI1_MISO","TIM3_CH1","TIM1_BKIN","","","TIM16_CH1","EVENTOUT"
"13","PA7","I/O","","","SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","EVENTOUT"
"14","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","","",""
"15","VSS","Power","","","","","","","","",""
"16","VDD","Power","","","","","","","","",""
"17","PA9","I/O","","","","USART1_TX","TIM1_CH2","","I2C1_SCL","",""
"18","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","","I2C1_SDA","",""
"19","PA13","I/O","","","SYS_SWDIO","IR_OUT","USB_NOE","","","",""
"20","PA14","I/O","","","SYS_SWCLK","USART2_TX","","","","",""
