"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"106","PG2","I/O","","","","","","TIM8_BKIN","","","","","","","","TIM8_BKIN_COMP1/TIM8_BKIN_COMP2","FMC_A12","",""
"107","PG3","I/O","","","","","","TIM8_BKIN2","","","","","","","","TIM8_BKIN2_COMP1/TIM8_BKIN2_COMP2","FMC_A13","",""
"108","PG4","I/O","","","","TIM1_BKIN2","","","","","","","","","","TIM1_BKIN2_COMP1/TIM1_BKIN2_COMP2","FMC_A14/FMC_BA0","",""
"109","PG5","I/O","","","","TIM1_ETR","","","","","","","","","","","FMC_A15/FMC_BA1","",""
"110","PG6","I/O","","","","TIM17_BKIN","HRTIM_CHE1","","","","","","","","QUADSPI_BK1_NCS","","FMC_NE3","DCMI_D12","LTDC_R7"
"111","PG7","I/O","","","","","HRTIM_CHE2","","","","SAI1_MCLK_A","USART6_CK","","","","","FMC_INT","DCMI_D13","LTDC_CLK"
"112","PG8","I/O","","","","","","TIM8_ETR","","SPI6_NSS","","USART6_DE/USART6_RTS","SPDIFRX1_IN2","","","ETH_PPS_OUT","FMC_SDCLK","","LTDC_G7"
"113","VSS","Power","","","","","","","","","","","","","","","","",""
"114","VDD33_USB","Power","","","","","","","","","","","","","","","","",""
"115","PC6","I/O","","","","HRTIM_CHA1","TIM3_CH1","TIM8_CH1","DFSDM1_CKIN3","I2S2_MCK","","USART6_TX","SDMMC1_D0DIR","FMC_NWAIT","SDMMC2_D6","","SDMMC1_D6","DCMI_D0","LTDC_HSYNC"
"116","PC7","I/O","","","DEBUG_TRGIO","HRTIM_CHA2","TIM3_CH2","TIM8_CH2","DFSDM1_DATIN3","","I2S3_MCK","USART6_RX","SDMMC1_D123DIR","FMC_NE1","SDMMC2_D7","SWPMI1_TX","SDMMC1_D7","DCMI_D1","LTDC_G6"
"117","PC8","I/O","","","DEBUG_TRACED1","HRTIM_CHB1","TIM3_CH3","TIM8_CH3","","","","USART6_CK","UART5_DE/UART5_RTS","FMC_NCE/FMC_NE2","","SWPMI1_RX","SDMMC1_D0","DCMI_D2",""
"118","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","UART5_CTS","QUADSPI_BK1_IO0","LTDC_G3","SWPMI1_SUSPEND","SDMMC1_D1","DCMI_D3","LTDC_B2"
"119","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","HRTIM_CHB2","TIM8_BKIN2","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","UART7_RX","TIM8_BKIN2_COMP1/TIM8_BKIN2_COMP2","LTDC_B3","LTDC_R6"
"120","PA9","I/O","","","","TIM1_CH2","HRTIM_CHC1","LPUART1_TX","I2C3_SMBA","I2S2_CK/SPI2_SCK","","USART1_TX","","","","","","DCMI_D0","LTDC_R5"
"121","PA10","I/O","","","","TIM1_CH3","HRTIM_CHC2","LPUART1_RX","","","","USART1_RX","","","USB_OTG_FS_ID","MDIOS_MDIO","LTDC_B4","DCMI_D1","LTDC_B1"
"122","PA11","I/O","","","","TIM1_CH4","HRTIM_CHD1","LPUART1_CTS","","I2S2_WS/SPI2_NSS","UART4_RX","USART1_CTS/USART1_NSS","","FDCAN1_RX","USB_OTG_FS_DM","","","","LTDC_R4"
"123","PA12","I/O","","","","TIM1_ETR","HRTIM_CHD2","LPUART1_DE/LPUART1_RTS","","I2S2_CK/SPI2_SCK","UART4_TX","USART1_DE/USART1_RTS","SAI2_FS_B","FDCAN1_TX","USB_OTG_FS_DP","","","","LTDC_R5"
"124","PA13 (JTMS/SWDIO)","I/O","","","DEBUG_JTMS-SWDIO","","","","","","","","","","","","","",""
"125","VCAP","Power","","","","","","","","","","","","","","","","",""
"126","VSS","Power","","","","","","","","","","","","","","","","",""
"127","VDD","Power","","","","","","","","","","","","","","","","",""
"128","PH13","I/O","","","","","","TIM8_CH1N","","","","","UART4_TX","FDCAN1_TX","","","FMC_D21","","LTDC_G2"
"129","PH14","I/O","","","","","","TIM8_CH2N","","","","","UART4_RX","FDCAN1_RX","","","FMC_D22","DCMI_D4","LTDC_G3"
"130","PH15","I/O","","","","","","TIM8_CH3N","","","","","","","","","FMC_D23","DCMI_D11","LTDC_G4"
"131","PI0","I/O","","","","","TIM5_CH4","","","I2S2_WS/SPI2_NSS","","","","","","","FMC_D24","DCMI_D13","LTDC_G5"
"132","PI1","I/O","","","","","","TIM8_BKIN2","","I2S2_CK/SPI2_SCK","","","","","","TIM8_BKIN2_COMP1/TIM8_BKIN2_COMP2","FMC_D25","DCMI_D8","LTDC_G6"
"133","PI2","I/O","","","","","","TIM8_CH4","","I2S2_SDI/SPI2_MISO","","","","","","","FMC_D26","DCMI_D9","LTDC_G7"
"134","PI3","I/O","","","","","","TIM8_ETR","","I2S2_SDO/SPI2_MOSI","","","","","","","FMC_D27","DCMI_D10",""
"135","VSS","Power","","","","","","","","","","","","","","","","",""
"136","VDD","Power","","","","","","","","","","","","","","","","",""
"137","PA14 (JTCK/SWCLK)","I/O","","","DEBUG_JTCK-SWCLK","","","","","","","","","","","","","",""
"138","PA15 (JTDI)","I/O","","","DEBUG_JTDI","TIM2_CH1/TIM2_ETR","HRTIM_FLT1","","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","SPI6_NSS","UART4_DE/UART4_RTS","","","UART7_TX","","",""
"139","PC10","I/O","","","","","HRTIM_EEV1","DFSDM1_CKIN5","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","","","SDMMC1_D2","DCMI_D8","LTDC_R2"
"140","PC11","I/O","","","","","HRTIM_FLT2","DFSDM1_DATIN5","","","I2S3_SDI/SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","","","SDMMC1_D3","DCMI_D4",""
