"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"D10","PE6","I/O","","","SYS_TRACED3","","TIM3_CH4","SAI1_D1","","","","","","","DCMI_D7","","FMC_A22","SAI1_SD_A","","EVENTOUT"
"D11","PC13","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"D12","VSS","Power","","","","","","","","","","","","","","","","","",""
"E1","PG7","I/O","","","","","","SAI1_CK1","I2C3_SCL","OCTOSPIM_P2_DQS","DFSDM1_CKOUT","","LPUART1_TX","","","","FMC_INT","SAI1_MCLK_A","","EVENTOUT"
"E2","PG8","I/O","","","","","","","I2C3_SDA","","","","LPUART1_RX","","","","","","","EVENTOUT"
"E3","VDDIO2","Power","","","","","","","","","","","","","","","","","",""
"E4","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","","DFSDM1_CKIN3","","SDMMC1_D0DIR","TSC_G4_IO1","DCMI_D0","","SDMMC1_D6","SAI2_MCLK_A","","EVENTOUT"
"E5","PG6","I/O","","","","","","OCTOSPIM_P1_DQS","I2C3_SMBA","","","","LPUART1_DE/LPUART1_RTS","","","","","","","EVENTOUT"
"E6","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","DFSDM1_DATIN3","","SDMMC1_D123DIR","TSC_G4_IO2","DCMI_D1","","SDMMC1_D7","SAI2_MCLK_B","","EVENTOUT"
"E7","PD6","I/O","","","","","","SAI1_D1","DCMI_D10","SPI3_MOSI","DFSDM1_DATIN1","USART2_RX","","","OCTOSPIM_P1_IO6","","FMC_NWAIT","SAI1_SD_A","","EVENTOUT"
"E8","PB5","I/O","","","","LPTIM1_IN1","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","SPI3_MOSI","USART1_CK","UART5_CTS","TSC_G2_IO2","DCMI_D10","","COMP2_OUT","SAI1_SD_B","TIM16_BKIN","EVENTOUT"
"E9","PF0","I/O","","","","","","","I2C2_SDA","OCTOSPIM_P2_IO0","","","","","","","FMC_A0","","","EVENTOUT"
"E10","VBAT","Power","","","","","","","","","","","","","","","","","",""
"E11","PC14-OSC32_IN (PC14)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"E12","PC15-OSC32_OUT (PC15)","I/O","","","","","","","","","","","","","","","","","","EVENTOUT"
"F1","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","","FMC_D1/FMC_DA1","","","EVENTOUT"
"F2","PG2","I/O","","","","","","","","SPI1_SCK","","","","","","","FMC_A12","SAI2_SCK_B","","EVENTOUT"
"F3","PD14","I/O","","","","","TIM4_CH3","","","","","","","","","","FMC_D0/FMC_DA0","","","EVENTOUT"
"F4","PD12","I/O","","","","","TIM4_CH1","","I2C4_SCL","","","USART3_DE/USART3_RTS","","TSC_G6_IO3","","","FMC_A17","SAI2_FS_A","LPTIM2_IN1","EVENTOUT"
"F5","PG3","I/O","","","","","","","","SPI1_MISO","","","","","","","FMC_A13","SAI2_FS_B","","EVENTOUT"
"F6","PG4","I/O","","","","","","","","SPI1_MOSI","","","","","","","FMC_A14","SAI2_MCLK_B","","EVENTOUT"
"F7","PG5","I/O","","","","","","","","SPI1_NSS","","","LPUART1_CTS","","","","FMC_A15","SAI2_SD_B","","EVENTOUT"
"F8","PF1","I/O","","","","","","","I2C2_SCL","OCTOSPIM_P2_IO1","","","","","","","FMC_A1","","","EVENTOUT"
"F9","PF5","I/O","","","","","","","","","","","","","","","FMC_A5","","","EVENTOUT"
"F10","PF4","I/O","","","","","","","","OCTOSPIM_P2_CLK","","","","","","","FMC_A4","","","EVENTOUT"
"F11","PF3","I/O","","","","","","","","OCTOSPIM_P2_IO3","","","","","","","FMC_A3","","","EVENTOUT"
"F12","PF2","I/O","","","","","","","I2C2_SMBA","OCTOSPIM_P2_IO2","","","","","","","FMC_A2","","","EVENTOUT"
"G1","VSS","Power","","","","","","","","","","","","","","","","","",""
"G2","VDD","Power","","","","","","","","","","","","","","","","","",""
"G3","PD13","I/O","","","","","TIM4_CH2","","I2C4_SDA","","","","","TSC_G6_IO4","","","FMC_A18","","LPTIM2_OUT","EVENTOUT"
"G4","PD11","I/O","","","","","","","I2C4_SMBA","","","USART3_CTS/USART3_NSS","","TSC_G6_IO2","","","FMC_A16","SAI2_SD_A","LPTIM2_ETR","EVENTOUT"
"G5","PD10","I/O","","","","","","","","","","USART3_CK","","TSC_G6_IO1","","","FMC_D15/FMC_DA15","SAI2_SCK_A","","EVENTOUT"
"G6","PE9","I/O","","","","TIM1_CH1","","","","","DFSDM1_CKOUT","","","","","","FMC_D6/FMC_DA6","SAI1_FS_B","","EVENTOUT"
"G7","PF14","I/O","","","","","","","I2C4_SCL","","DFSDM1_CKIN6","","","TSC_G8_IO1","","","FMC_A8","","","EVENTOUT"
"G8","PA5","I/O","","","","TIM2_CH1","TIM2_ETR","TIM8_CH1N","","SPI1_SCK","","","","","","","","","LPTIM2_ETR","EVENTOUT"
"G9","PF7","I/O","","","","","TIM5_CH2","","","","","","","","OCTOSPIM_P1_IO2","","","SAI1_MCLK_B","","EVENTOUT"
"G10","PF6","I/O","","","","TIM5_ETR","TIM5_CH1","","","","","","","","OCTOSPIM_P1_IO3","","","SAI1_SD_B","","EVENTOUT"
"G11","VSS","Power","","","","","","","","","","","","","","","","","",""
"G12","VDD","Power","","","","","","","","","","","","","","","","","",""
