"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"59","PD12","I/O","","","","","TIM4_CH1","","","","","USART3_RTS","","","","","","","TIMX_IC1"
"60","PD13","I/O","","","","","TIM4_CH2","","","","","","","","","","","","TIMX_IC2"
"61","PD14","I/O","","","","","TIM4_CH3","","","","","","","","","","","","TIMX_IC3"
"62","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","","","","TIMX_IC4"
"63","PC6","I/O","","","","","TIM3_CH1","","","I2S2_MCK","","","","","","","","","TIMX_IC3/TS_G10_IO1"
"64","PC7","I/O","","","","","TIM3_CH2","","","","I2S3_MCK","","","","","","","","TIMX_IC4/TS_G10_IO2"
"65","PC8","I/O","","","","","TIM3_CH3","","","","","","","","","","","","TIMX_IC1/TS_G10_IO3"
"66","PC9","I/O","","","","","TIM3_CH4","","","","","","","","","","","","TIMX_IC2/TS_G10_IO4"
"67","PA8","I/O","","","RCC_MCO","","","","","","","USART1_CK","","","","","","","TIMX_IC1/TS_G4_IO1"
"68","PA9","I/O","","","","","","","","","","USART1_TX","","","","","","","TIMX_IC2/TS_G4_IO2"
"69","PA10","I/O","","","","","","","","","","USART1_RX","","","","","","","TIMX_IC3/TS_G4_IO3"
"70","PA11","I/O","","","","","","","","SPI1_MISO","","USART1_CTS","","","USB_DM","","","","TIMX_IC4"
"71","PA12","I/O","","","","","","","","SPI1_MOSI","","USART1_RTS","","","USB_DP","","","","TIMX_IC1"
"72","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","","TIMX_IC2/TS_G5_IO1"
"73","PH2","I/O","","","","","","","","","","","","","","","","",""
"74","VSS","Power","","","","","","","","","","","","","","","","",""
"75","VDD","Power","","","","","","","","","","","","","","","","",""
"76","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","","TIMX_IC3/TS_G5_IO2"
"77","PA15","I/O","","","SYS_JTDI","TIM2_CH1","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","","","","TIMX_IC4/TS_G5_IO3"
"78","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","","","","","","TIMX_IC3"
"79","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","","","","","","TIMX_IC4"
"80","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","","","TIMX_IC1"
"81","PD0","I/O","","","","","","TIM9_CH1","","I2S2_WS/SPI2_NSS","","","","","","","","","TIMX_IC1"
"82","PD1","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","","","","","","","","TIMX_IC2"
"83","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","","","","TIMX_IC3"
"84","PD3","I/O","","","","","","","","SPI2_MISO","","USART2_CTS","","","","","","","TIMX_IC4"
"85","PD4","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","USART2_RTS","","","","","","","TIMX_IC1"
"86","PD5","I/O","","","","","","","","","","USART2_TX","","","","","","","TIMX_IC2"
"87","PD6","I/O","","","","","","","","","","USART2_RX","","","","","","","TIMX_IC3"
"88","PD7","I/O","","","","","","TIM9_CH2","","","","USART2_CK","","","","","","","TIMX_IC4"
"89","PB3","I/O","","","SYS_JTDO-TRACESWO","TIM2_CH2","","","","SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","","","","COMP2_INM"
"90","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","","","","","","","","COMP2_INP/TS_G6_IO1"
"91","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","","","","","","COMP2_INP/TS_G6_IO2"
"92","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","","","","","","COMP2_INP/TS_G6_IO3"
"93","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","","","COMP2_INP/SYS_PVD_IN/TS_G6_IO4"
"94","BOOT0","Boot","","","","","","","","","","","","","","","","",""
"95","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","","","","","",""
"96","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","","","","","","","","","",""
"97","PE0","I/O","","","","","TIM4_ETR","TIM10_CH1","","","","","","","","","","","TIMX_IC1"
"98","PE1","I/O","","","","","","TIM11_CH1","","","","","","","","","","","TIMX_IC2"
"99","VSS","Power","","","","","","","","","","","","","","","","",""
"100","VDD","Power","","","","","","","","","","","","","","","","",""
