"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"20","PF2","I/O","","","","","","","I2C2_SMBA","","","","","","","","FMC_A2","",""
"21","PF3","I/O","","","","","","","","","","","","","","","FMC_A3","",""
"22","PF4","I/O","","","","","","","","","","","","","","","FMC_A4","",""
"23","PF5","I/O","","","","","","","","","","","","","","","FMC_A5","",""
"24","VSS","Power","","","","","","","","","","","","","","","","",""
"25","VDD","Power","","","","","","","","","","","","","","","","",""
"26","PF6","I/O","","","","TIM16_CH1","","","","SPI5_NSS","SAI1_SD_B","UART7_RX","SAI4_SD_B","QUADSPI_BK1_IO3","","","","",""
"27","PF7","I/O","","","","TIM17_CH1","","","","SPI5_SCK","SAI1_MCLK_B","UART7_TX","SAI4_MCLK_B","QUADSPI_BK1_IO2","","","","",""
"28","PF8","I/O","","","","TIM16_CH1N","","","","SPI5_MISO","SAI1_SCK_B","UART7_DE/UART7_RTS","SAI4_SCK_B","TIM13_CH1","QUADSPI_BK1_IO0","","","",""
"29","PF9","I/O","","","","TIM17_CH1N","","","","SPI5_MOSI","SAI1_FS_B","UART7_CTS","SAI4_FS_B","TIM14_CH1","QUADSPI_BK1_IO1","","","",""
"30","PF10","I/O","","","","TIM16_BKIN","SAI1_D3","","","","","","","QUADSPI_CLK","SAI4_D3","","","DCMI_D11","LTDC_DE"
"31","PH0-OSC_IN (PH0)","I/O","","","","","","","","","","","","","","","","",""
"32","PH1-OSC_OUT (PH1)","I/O","","","","","","","","","","","","","","","","",""
"33","NRST","Reset","","","","","","","","","","","","","","","","",""
"34","PC0","I/O","","","","","","DFSDM1_CKIN0","","","DFSDM1_DATIN4","","SAI2_FS_B","","USB_OTG_HS_ULPI_STP","","FMC_SDNWE","","LTDC_R5"
"35","PC1","I/O","","","DEBUG_TRACED0","","SAI1_D1","DFSDM1_DATIN0","DFSDM1_CKIN4","I2S2_SDO/SPI2_MOSI","SAI1_SD_A","","SAI4_SD_A","SDMMC2_CK","SAI4_D1","ETH_MDC","MDIOS_MDC","",""
