"Position","Name","Type","Signal","Label","TIM9_REMAP1","TIM2_REMAP2","TIM2_REMAP1","TIM1_REMAP1","TIM3_REMAP1","TIM1_REMAP2","TIM2_REMAP3","USART3_REMAP1","USART3_REMAP2","TIM4_REMAP1","TIM3_REMAP2","SPI1_REMAP1","CAN_REMAP2","USART2_REMAP1","USART1_REMAP1","CAN_REMAP1","I2C1_REMAP1"
"75","VDD","Power","","","","","","","","","","","","","","","","","","",""
"76","PA14","I/O","","","","","","","","","","","","","","","","","","",""
"77","PA15","I/O","","","","","TIM2_CH1/TIM2_ETR","","","","TIM2_CH1/TIM2_ETR","","","","","SPI1_NSS","","","","",""
"78","PC10","I/O","","","","","","","","","","USART3_TX","","","","","","","","",""
"79","PC11","I/O","","","","","","","","","","USART3_RX","","","","","","","","",""
"80","PC12","I/O","","","","","","","","","","USART3_CK","","","","","","","","",""
"81","PD0","I/O","","","","","","","","","","","","","","","CAN_RX","","","",""
"82","PD1","I/O","","","","","","","","","","","","","","","CAN_TX","","","",""
"83","PD2","I/O","","","","","","","","","","","","","","","","","","",""
"84","PD3","I/O","","","","","","","","","","","","","","","","USART2_CTS","","",""
"85","PD4","I/O","","","","","","","","","","","","","","","","USART2_RTS","","",""
"86","PD5","I/O","","","","","","","","","","","","","","","","USART2_TX","","",""
"87","PD6","I/O","","","","","","","","","","","","","","","","USART2_RX","","",""
"88","PD7","I/O","","","","","","","","","","","","","","","","USART2_CK","","",""
"89","PB3","I/O","","","","","TIM2_CH2","","","","TIM2_CH2","","","","","SPI1_SCK","","","","",""
"90","PB4","I/O","","","","","","","TIM3_CH1","","","","","","","SPI1_MISO","","","","",""
"91","PB5","I/O","","","","","","","TIM3_CH2","","","","","","","SPI1_MOSI","","","","",""
"92","PB6","I/O","","","","","","","","","","","","","","","","","USART1_TX","",""
"93","PB7","I/O","","","","","","","","","","","","","","","","","USART1_RX","",""
"94","BOOT0","Boot","","","","","","","","","","","","","","","","","","",""
"95","PB8","I/O","","","","","","","","","","","","","","","","","","CAN_RX","I2C1_SCL"
"96","PB9","I/O","","","","","","","","","","","","","","","","","","CAN_TX","I2C1_SDA"
"97","PE0","I/O","","","","","","","","","","","","","","","","","","",""
"98","PE1","I/O","","","","","","","","","","","","","","","","","","",""
"99","VSS","Power","","","","","","","","","","","","","","","","","","",""
"100","VDD","Power","","","","","","","","","","","","","","","","","","",""
