"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6"
"A1","PA13","I/O","","","","IR_OUT","","","","",""
"A2","PA14","I/O","","","SYS_SWCLK","USART1_TX","","","","",""
"A3","PB7","I/O","","","USART1_RX","I2C1_SDA","TIM17_CH1N","","","",""
"A4","BOOT0","Boot","","","","","","","","",""
"A5","PF0-OSC_IN","I/O","","","","","","","","",""
"B1","PA10","I/O","","","TIM17_BKIN","USART1_RX","TIM1_CH3","","I2C1_SDA","",""
"B2","PB6","I/O","","","USART1_TX","I2C1_SCL","TIM16_CH1N","","","",""
"B3","PA4","I/O","","","I2S1_WS/SPI1_NSS","USART1_CK","","","TIM14_CH1","",""
"B4","PA0","I/O","","","RTC_TAMP2/SYS_WKUP1","USART1_CTS","TIM2_CH1/TIM2_ETR","","","",""
"B5","PF1-OSC_OUT","I/O","","","","","","","","",""
"C1","PA9","I/O","","","","USART1_TX","TIM1_CH2","","I2C1_SCL","",""
"C2","PB5","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM16_BKIN","I2C1_SMBA","","",""
"C3","PA5","I/O","","","I2S1_CK/SPI1_SCK","","TIM2_CH1/TIM2_ETR","","","",""
"C4","PA1","I/O","","","EVENTOUT","USART1_DE/USART1_RTS","TIM2_CH2","","","",""
"C5","NRST","Reset","","","","","","","","",""
"D1","VDD","Power","","","","","","","","",""
"D2","PA8","I/O","","","RCC_MCO","USART1_CK","TIM1_CH1","EVENTOUT","","",""
"D3","PA6","I/O","","","I2S1_MCK/SPI1_MISO","TIM3_CH1","TIM1_BKIN","","","TIM16_CH1","EVENTOUT"
"D4","PA2","I/O","","","","USART1_TX","TIM2_CH3","","","",""
"D5","VDDA","Power","","","","","","","","",""
"E1","VSS","Power","","","","","","","","",""
"E2","PB1","I/O","","","TIM14_CH1","TIM3_CH4","TIM1_CH3N","","","",""
"E3","PB0","I/O","","","EVENTOUT","TIM3_CH3","TIM1_CH2N","","","",""
"E4","PA7","I/O","","","I2S1_SD/SPI1_MOSI","TIM3_CH2","TIM1_CH1N","","TIM14_CH1","TIM17_CH1","EVENTOUT"
"E5","PA3","I/O","","","","USART1_RX","TIM2_CH4","","","",""
