"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"66","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","","","","","SDIO_D1","DCMI_D3"
"67","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","","",""
"68","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","","","USART1_TX","","","","","","DCMI_D0"
"69","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","","","DCMI_D1"
"70","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","","",""
"71","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","","",""
"72","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","",""
"73","VCAP_2","Power","","","","","","","","","","","","","","","",""
"74","VSS","Power","","","","","","","","","","","","","","","",""
"75","VDD","Power","","","","","","","","","","","","","","","",""
"76","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","",""
"77","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","","",""
"78","PC10","I/O","","","","","","","","","I2S3_SCK/SPI3_SCK","USART3_TX","UART4_TX","","","","SDIO_D2","DCMI_D8"
"79","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","","","","SDIO_D3","DCMI_D4"
"80","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK","DCMI_D9"
"81","PD0","I/O","","","","","","","","","","","","CAN1_RX","","","FSMC_D2/FSMC_DA2",""
"82","PD1","I/O","","","","","","","","","","","","CAN1_TX","","","FSMC_D3/FSMC_DA3",""
"83","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD","DCMI_D11"
"84","PD3","I/O","","","","","","","","","","USART2_CTS","","","","","FSMC_CLK",""
"85","PD4","I/O","","","","","","","","","","USART2_RTS","","","","","FSMC_NOE",""
"86","PD5","I/O","","","","","","","","","","USART2_TX","","","","","FSMC_NWE",""
"87","PD6","I/O","","","","","","","","","","USART2_RX","","","","","FSMC_NWAIT",""
"88","PD7","I/O","","","","","","","","","","USART2_CK","","","","","FSMC_NCE2/FSMC_NE1",""
"89","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","I2S3_SCK/SPI3_SCK","","","","","","",""
"90","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","","","","","","",""
"91","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","USB_OTG_HS_ULPI_D7","ETH_PPS_OUT","","DCMI_D10"
"92","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","CAN2_TX","","","","DCMI_D5"
"93","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","FSMC_NL","DCMI_VSYNC"
"94","BOOT0","Boot","","","","","","","","","","","","","","","",""
"95","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","","ETH_TXD3","SDIO_D4","DCMI_D6"
"96","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","CAN1_TX","","","SDIO_D5","DCMI_D7"
"97","PE0","I/O","","","","","TIM4_ETR","","","","","","","","","","FSMC_NBL0","DCMI_D2"
"98","PE1","I/O","","","","","","","","","","","","","","","FSMC_NBL1","DCMI_D3"
"99","RFU","Power","","","","","","","","","","","","","","","",""
"100","VDD","Power","","","","","","","","","","","","","","","",""
