"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13"
"33","PC1","I/O","","","","","","","","","","","","","","ETH_MDC","",""
"34","PC2","I/O","","","","","","","","SPI2_MISO","","","","","USB_OTG_HS_ULPI_DIR","ETH_TXD2","",""
"35","PC3","I/O","","","","","","","","I2S2_SD/SPI2_MOSI","","","","","USB_OTG_HS_ULPI_NXT","ETH_TX_CLK","",""
"36","VDD","Power","","","","","","","","","","","","","","","",""
"37","VSSA","Power","","","","","","","","","","","","","","","",""
"38","VREF+","Power","","","","","","","","","","","","","","","",""
"39","VDDA","Power","","","","","","","","","","","","","","","",""
"40","PA0-WKUP","I/O","","","SYS_WKUP","TIM2_CH1/TIM2_ETR","TIM5_CH1","TIM8_ETR","","","","USART2_CTS","UART4_TX","","","ETH_CRS","",""
"41","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","","","USART2_RTS","UART4_RX","","","ETH_REF_CLK/ETH_RX_CLK","",""
"42","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","","","USART2_TX","","","","ETH_MDIO","",""
"43","PH2","I/O","","","","","","","","","","","","","","ETH_CRS","",""
"44","PH3","I/O","","","","","","","","","","","","","","ETH_COL","",""
"45","PH4","I/O","","","","","","","I2C2_SCL","","","","","","USB_OTG_HS_ULPI_NXT","","",""
"46","PH5","I/O","","","","","","","I2C2_SDA","","","","","","","","",""
"47","PA3","I/O","","","","TIM2_CH4","TIM5_CH4","TIM9_CH2","","","","USART2_RX","","","USB_OTG_HS_ULPI_D0","ETH_COL","",""
"48","VSS","Power","","","","","","","","","","","","","","","",""
"49","VDD","Power","","","","","","","","","","","","","","","",""
"50","PA4","I/O","","","","","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","","","","","USB_OTG_HS_SOF","DCMI_HSYNC"
"51","PA5","I/O","","","","TIM2_CH1/TIM2_ETR","","TIM8_CH1N","","SPI1_SCK","","","","","USB_OTG_HS_ULPI_CK","","",""
"52","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","","","","TIM13_CH1","","","","DCMI_PIXCLK"
"53","PA7","I/O","","","","TIM1_CH1N","TIM3_CH2","TIM8_CH1N","","SPI1_MOSI","","","","TIM14_CH1","","ETH_CRS_DV/ETH_RX_DV","",""
"54","PC4","I/O","","","","","","","","","","","","","","ETH_RXD0","",""
"55","PC5","I/O","","","","","","","","","","","","","","ETH_RXD1","",""
"56","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","","","","","USB_OTG_HS_ULPI_D1","ETH_RXD2","",""
"57","PB1","I/O","","","","TIM1_CH3N","TIM3_CH4","TIM8_CH3N","","","","","","","USB_OTG_HS_ULPI_D2","ETH_RXD3","",""
"58","PB2","I/O","","","","","","","","","","","","","","","",""
"59","PF11","I/O","","","","","","","","","","","","","","","","DCMI_D12"
"60","PF12","I/O","","","","","","","","","","","","","","","FSMC_A6",""
"61","VSS","Power","","","","","","","","","","","","","","","",""
"62","VDD","Power","","","","","","","","","","","","","","","",""
"63","PF13","I/O","","","","","","","","","","","","","","","FSMC_A7",""
"64","PF14","I/O","","","","","","","","","","","","","","","FSMC_A8",""
"65","PF15","I/O","","","","","","","","","","","","","","","FSMC_A9",""
"66","PG0","I/O","","","","","","","","","","","","","","","FSMC_A10",""
"67","PG1","I/O","","","","","","","","","","","","","","","FSMC_A11",""
"68","PE7","I/O","","","","TIM1_ETR","","","","","","","","","","","FSMC_D4/FSMC_DA4",""
"69","PE8","I/O","","","","TIM1_CH1N","","","","","","","","","","","FSMC_D5/FSMC_DA5",""
"70","PE9","I/O","","","","TIM1_CH1","","","","","","","","","","","FSMC_D6/FSMC_DA6",""
"71","VSS","Power","","","","","","","","","","","","","","","",""
"72","VDD","Power","","","","","","","","","","","","","","","",""
"73","PE10","I/O","","","","TIM1_CH2N","","","","","","","","","","","FSMC_D7/FSMC_DA7",""
"74","PE11","I/O","","","","TIM1_CH2","","","","","","","","","","","FSMC_D8/FSMC_DA8",""
"75","PE12","I/O","","","","TIM1_CH3N","","","","","","","","","","","FSMC_D9/FSMC_DA9",""
"76","PE13","I/O","","","","TIM1_CH3","","","","","","","","","","","FSMC_D10/FSMC_DA10",""
"77","PE14","I/O","","","","TIM1_CH4","","","","","","","","","","","FSMC_D11/FSMC_DA11",""
"78","PE15","I/O","","","","TIM1_BKIN","","","","","","","","","","","FSMC_D12/FSMC_DA12",""
"79","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_SCK/SPI2_SCK","","USART3_TX","","","USB_OTG_HS_ULPI_D3","ETH_RX_ER","",""
"80","PB11","I/O","","","","TIM2_CH4","","","I2C2_SDA","","","USART3_RX","","","USB_OTG_HS_ULPI_D4","ETH_TX_EN","",""
"81","VCAP_1","Power","","","","","","","","","","","","","","","",""
"82","VDD","Power","","","","","","","","","","","","","","","",""
"83","PH6","I/O","","","","","","","I2C2_SMBA","","","","","TIM12_CH1","","ETH_RXD2","",""
"84","PH7","I/O","","","","","","","I2C3_SCL","","","","","","","ETH_RXD3","",""
"85","PH8","I/O","","","","","","","I2C3_SDA","","","","","","","","","DCMI_HSYNC"
"86","PH9","I/O","","","","","","","I2C3_SMBA","","","","","TIM12_CH2","","","","DCMI_D0"
"87","PH10","I/O","","","","","TIM5_CH1","","","","","","","","","","","DCMI_D1"
"88","PH11","I/O","","","","","TIM5_CH2","","","","","","","","","","","DCMI_D2"
"89","PH12","I/O","","","","","TIM5_CH3","","","","","","","","","","","DCMI_D3"
"90","VSS","Power","","","","","","","","","","","","","","","",""
"91","VDD","Power","","","","","","","","","","","","","","","",""
"92","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","","USART3_CK","","CAN2_RX","USB_OTG_HS_ULPI_D5","ETH_TXD0","USB_OTG_HS_ID",""
"93","PB13","I/O","","","","TIM1_CH1N","","","","I2S2_SCK/SPI2_SCK","","USART3_CTS","","CAN2_TX","USB_OTG_HS_ULPI_D6","ETH_TXD1","USB_OTG_HS_VBUS",""
"94","PB14","I/O","","","","TIM1_CH2N","","TIM8_CH2N","","SPI2_MISO","","USART3_RTS","","TIM12_CH1","","","USB_OTG_HS_DM",""
"95","PB15","I/O","","","RTC_REFIN","TIM1_CH3N","","TIM8_CH3N","","I2S2_SD/SPI2_MOSI","","","","TIM12_CH2","","","USB_OTG_HS_DP",""
"96","PD8","I/O","","","","","","","","","","USART3_TX","","","","","FSMC_D13/FSMC_DA13",""
"97","PD9","I/O","","","","","","","","","","USART3_RX","","","","","FSMC_D14/FSMC_DA14",""
"98","PD10","I/O","","","","","","","","","","USART3_CK","","","","","FSMC_D15/FSMC_DA15",""
"99","PD11","I/O","","","","","","","","","","USART3_CTS","","","","","FSMC_A16/FSMC_CLE",""
"100","PD12","I/O","","","","","TIM4_CH1","","","","","USART3_RTS","","","","","FSMC_A17/FSMC_ALE",""
"101","PD13","I/O","","","","","TIM4_CH2","","","","","","","","","","FSMC_A18",""
"102","VSS","Power","","","","","","","","","","","","","","","",""
"103","VDD","Power","","","","","","","","","","","","","","","",""
"104","PD14","I/O","","","","","TIM4_CH3","","","","","","","","","","FSMC_D0/FSMC_DA0",""
"105","PD15","I/O","","","","","TIM4_CH4","","","","","","","","","","FSMC_D1/FSMC_DA1",""
"106","PG2","I/O","","","","","","","","","","","","","","","FSMC_A12",""
"107","PG3","I/O","","","","","","","","","","","","","","","FSMC_A13",""
"108","PG4","I/O","","","","","","","","","","","","","","","FSMC_A14",""
"109","PG5","I/O","","","","","","","","","","","","","","","FSMC_A15",""
"110","PG6","I/O","","","","","","","","","","","","","","","FSMC_INT2",""
"111","PG7","I/O","","","","","","","","","","","USART6_CK","","","","FSMC_INT3",""
"112","PG8","I/O","","","","","","","","","","","USART6_RTS","","","ETH_PPS_OUT","",""
"113","VSS","Power","","","","","","","","","","","","","","","",""
"114","VDD","Power","","","","","","","","","","","","","","","",""
"115","PC6","I/O","","","","","TIM3_CH1","TIM8_CH1","","I2S2_MCK","","","USART6_TX","","","","SDIO_D6","DCMI_D0"
"116","PC7","I/O","","","","","TIM3_CH2","TIM8_CH2","","","I2S3_MCK","","USART6_RX","","","","SDIO_D7","DCMI_D1"
"117","PC8","I/O","","","","","TIM3_CH3","TIM8_CH3","","","","","USART6_CK","","","","SDIO_D0","DCMI_D2"
"118","PC9","I/O","","","RCC_MCO_2","","TIM3_CH4","TIM8_CH4","I2C3_SDA","I2S_CKIN","","","","","","","SDIO_D1","DCMI_D3"
"119","PA8","I/O","","","RCC_MCO_1","TIM1_CH1","","","I2C3_SCL","","","USART1_CK","","","USB_OTG_FS_SOF","","",""
"120","PA9","I/O","","","","TIM1_CH2","","","I2C3_SMBA","","","USART1_TX","","","","","","DCMI_D0"
"121","PA10","I/O","","","","TIM1_CH3","","","","","","USART1_RX","","","USB_OTG_FS_ID","","","DCMI_D1"
"122","PA11","I/O","","","","TIM1_CH4","","","","","","USART1_CTS","","CAN1_RX","USB_OTG_FS_DM","","",""
"123","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","","",""
"124","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","",""
"125","VCAP_2","Power","","","","","","","","","","","","","","","",""
"126","VSS","Power","","","","","","","","","","","","","","","",""
"127","VDD","Power","","","","","","","","","","","","","","","",""
"128","PH13","I/O","","","","","","TIM8_CH1N","","","","","","CAN1_TX","","","",""
"129","PH14","I/O","","","","","","TIM8_CH2N","","","","","","","","","","DCMI_D4"
"130","PH15","I/O","","","","","","TIM8_CH3N","","","","","","","","","","DCMI_D11"
"131","PI0","I/O","","","","","TIM5_CH4","","","I2S2_WS/SPI2_NSS","","","","","","","","DCMI_D13"
"132","PI1","I/O","","","","","","","","I2S2_SCK/SPI2_SCK","","","","","","","","DCMI_D8"
"133","PI2","I/O","","","","","","TIM8_CH4","","SPI2_MISO","","","","","","","","DCMI_D9"
"134","PI3","I/O","","","","","","TIM8_ETR","","I2S2_SD/SPI2_MOSI","","","","","","","","DCMI_D10"
"135","VSS","Power","","","","","","","","","","","","","","","",""
"136","VDD","Power","","","","","","","","","","","","","","","",""
"137","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","",""
"138","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","","",""
"139","PC10","I/O","","","","","","","","","I2S3_SCK/SPI3_SCK","USART3_TX","UART4_TX","","","","SDIO_D2","DCMI_D8"
"140","PC11","I/O","","","","","","","","","SPI3_MISO","USART3_RX","UART4_RX","","","","SDIO_D3","DCMI_D4"
"141","PC12","I/O","","","","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK","DCMI_D9"
"142","PD0","I/O","","","","","","","","","","","","CAN1_RX","","","FSMC_D2/FSMC_DA2",""
"143","PD1","I/O","","","","","","","","","","","","CAN1_TX","","","FSMC_D3/FSMC_DA3",""
"144","PD2","I/O","","","","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD","DCMI_D11"
"145","PD3","I/O","","","","","","","","","","USART2_CTS","","","","","FSMC_CLK",""
"146","PD4","I/O","","","","","","","","","","USART2_RTS","","","","","FSMC_NOE",""
"147","PD5","I/O","","","","","","","","","","USART2_TX","","","","","FSMC_NWE",""
"148","VSS","Power","","","","","","","","","","","","","","","",""
"149","VDD","Power","","","","","","","","","","","","","","","",""
"150","PD6","I/O","","","","","","","","","","USART2_RX","","","","","FSMC_NWAIT",""
"151","PD7","I/O","","","","","","","","","","USART2_CK","","","","","FSMC_NCE2/FSMC_NE1",""
"152","PG9","I/O","","","","","","","","","","","USART6_RX","","","","FSMC_NCE3/FSMC_NE2",""
"153","PG10","I/O","","","","","","","","","","","","","","","FSMC_NCE4_1/FSMC_NE3",""
"154","PG11","I/O","","","","","","","","","","","","","","ETH_TX_EN","FSMC_NCE4_2",""
"155","PG12","I/O","","","","","","","","","","","USART6_RTS","","","","FSMC_NE4",""
"156","PG13","I/O","","","","","","","","","","","USART6_CTS","","","ETH_TXD0","FSMC_A24",""
"157","PG14","I/O","","","","","","","","","","","USART6_TX","","","ETH_TXD1","FSMC_A25",""
"158","VSS","Power","","","","","","","","","","","","","","","",""
"159","VDD","Power","","","","","","","","","","","","","","","",""
"160","PG15","I/O","","","","","","","","","","","USART6_CTS","","","","","DCMI_D13"
"161","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","I2S3_SCK/SPI3_SCK","","","","","","",""
"162","PB4","I/O","","","SYS_JTRST","","TIM3_CH1","","","SPI1_MISO","SPI3_MISO","","","","","","",""
"163","PB5","I/O","","","","","TIM3_CH2","","I2C1_SMBA","SPI1_MOSI","I2S3_SD/SPI3_MOSI","","","CAN2_RX","USB_OTG_HS_ULPI_D7","ETH_PPS_OUT","","DCMI_D10"
"164","PB6","I/O","","","","","TIM4_CH1","","I2C1_SCL","","","USART1_TX","","CAN2_TX","","","","DCMI_D5"
"165","PB7","I/O","","","","","TIM4_CH2","","I2C1_SDA","","","USART1_RX","","","","","FSMC_NL","DCMI_VSYNC"
"166","BOOT0","Boot","","","","","","","","","","","","","","","",""
"167","PB8","I/O","","","","","TIM4_CH3","TIM10_CH1","I2C1_SCL","","","","","CAN1_RX","","ETH_TXD3","SDIO_D4","DCMI_D6"
"168","PB9","I/O","","","","","TIM4_CH4","TIM11_CH1","I2C1_SDA","I2S2_WS/SPI2_NSS","","","","CAN1_TX","","","SDIO_D5","DCMI_D7"
"169","PE0","I/O","","","","","TIM4_ETR","","","","","","","","","","FSMC_NBL0","DCMI_D2"
"170","PE1","I/O","","","","","","","","","","","","","","","FSMC_NBL1","DCMI_D3"
"171","RFU","Power","","","","","","","","","","","","","","","",""
"172","VDD","Power","","","","","","","","","","","","","","","",""
"173","PI4","I/O","","","","","","TIM8_BKIN","","","","","","","","","","DCMI_D5"
"174","PI5","I/O","","","","","","TIM8_CH1","","","","","","","","","","DCMI_VSYNC"
"175","PI6","I/O","","","","","","TIM8_CH2","","","","","","","","","","DCMI_D6"
"176","PI7","I/O","","","","","","TIM8_CH3","","","","","","","","","","DCMI_D7"
