"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14","AF15"
"G2","PB13","I/O","","","","TIM1_CH1N","","","FMPI2C1_SMBA","I2S2_CK/SPI2_SCK","I2S4_CK/SPI4_SCK","","USART3_CTS","CAN2_TX","DFSDM1_CKIN1","","","","","EVENTOUT"
"G3","PB12","I/O","","","","TIM1_BKIN","","","I2C2_SMBA","I2S2_WS/SPI2_NSS","I2S4_WS/SPI4_NSS","I2S3_CK/SPI3_SCK","USART3_CK","CAN2_RX","DFSDM1_DATIN1","","","","","EVENTOUT"
"G4","PB2","I/O","","","","","","","","","DFSDM1_CKIN0","","","QUADSPI_CLK","","","","","","EVENTOUT"
"G5","PC5","I/O","","","","","","","FMPI2C1_SMBA","","","USART3_RX","","","QUADSPI_BK2_IO3","","FSMC_NOE","","","EVENTOUT"
"G6","PA4","I/O","","","","","","","","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","USART2_CK","DFSDM1_DATIN1","","","","FSMC_D6/FSMC_DA6","","","EVENTOUT"
"G7","PA1","I/O","","","","TIM2_CH2","TIM5_CH2","","","I2S4_SD/SPI4_MOSI","","USART2_RTS","","QUADSPI_BK1_IO3","","","","","","EVENTOUT"
"G8","VSSA","Power","","","","","","","","","","","","","","","","","",""
"H1","VDD","Power","","","","","","","","","","","","","","","","","",""
"H2","VSS","Power","","","","","","","","","","","","","","","","","",""
"H3","VCAP_1","Power","","","","","","","","","","","","","","","","","",""
"H4","PB10","I/O","","","","TIM2_CH3","","","I2C2_SCL","I2S2_CK/SPI2_SCK","I2S3_MCK","USART3_TX","","FMPI2C1_SCL","","","SDIO_D7","","","EVENTOUT"
"H5","PB0","I/O","","","","TIM1_CH2N","TIM3_CH3","TIM8_CH2N","","","I2S5_CK/SPI5_SCK","","","","","","","","","EVENTOUT"
"H6","PA6","I/O","","","","TIM1_BKIN","TIM3_CH1","TIM8_BKIN","","SPI1_MISO","I2S2_MCK","","","TIM13_CH1","QUADSPI_BK2_IO0","","SDIO_CMD","","","EVENTOUT"
"H7","VDD","Power","","","","","","","","","","","","","","","","","",""
"H8","PA2","I/O","","","","TIM2_CH3","TIM5_CH3","TIM9_CH1","","I2S_CKIN","","USART2_TX","","","","","FSMC_D4/FSMC_DA4","","","EVENTOUT"
