"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"A1","VSS","Power","","","","","","","","","","","","","","","","",""
"A2","PB8","I/O","","","","TIM16_CH1","TIM4_CH3","DFSDM1_CKIN7","I2C1_SCL","","I2C4_SCL","SDMMC1_CKIN","UART4_RX","FDCAN1_RX","SDMMC2_D4","ETH_TXD3","SDMMC1_D4","DCMI_D6","LTDC_B6"
"A3","VDDLDO","Power","","","","","","","","","","","","","","","","",""
"A4","VCAP","Power","","","","","","","","","","","","","","","","",""
"A5","PB6","I/O","","","","TIM16_CH1N","TIM4_CH1","HRTIM_EEV8","I2C1_SCL","CEC","I2C4_SCL","USART1_TX","LPUART1_TX","FDCAN2_TX","QUADSPI_BK1_NCS","DFSDM1_DATIN5","FMC_SDNE1","DCMI_D5","UART5_TX"
"A6","PB3 (JTDO/TRACESWO)","I/O","","","DEBUG_JTDO-SWO","TIM2_CH2","HRTIM_FLT4","","","I2S1_CK/SPI1_SCK","I2S3_CK/SPI3_SCK","","SPI6_SCK","SDMMC2_D2","CRS_SYNC","UART7_RX","","",""
"A7","PG11","I/O","","","","LPTIM1_IN2","HRTIM_EEV4","","","I2S1_CK/SPI1_SCK","","","SPDIFRX1_IN0","","SDMMC2_D2","ETH_TX_EN","","DCMI_D3","LTDC_B3"
"A8","PG9","I/O","","","","","","","","I2S1_SDI/SPI1_MISO","","USART6_RX","SPDIFRX1_IN3","QUADSPI_BK2_IO2","SAI2_FS_B","","FMC_NCE/FMC_NE2","DCMI_VSYNC",""
"A9","PD3","I/O","","","","","","DFSDM1_CKOUT","","I2S2_CK/SPI2_SCK","","USART2_CTS/USART2_NSS","","","","","FMC_CLK","DCMI_D5","LTDC_G7"
"A10","PD1","I/O","","","","","","DFSDM1_DATIN6","","","SAI3_SD_A","","UART4_TX","FDCAN1_TX","","","FMC_D3/FMC_DA3","",""
"A11","PA15 (JTDI)","I/O","","","DEBUG_JTDI","TIM2_CH1/TIM2_ETR","HRTIM_FLT1","","CEC","I2S1_WS/SPI1_NSS","I2S3_WS/SPI3_NSS","SPI6_NSS","UART4_DE/UART4_RTS","","","UART7_TX","","",""
"A12","PA14 (JTCK/SWCLK)","I/O","","","DEBUG_JTCK-SWCLK","","","","","","","","","","","","","",""
"A13","VDDLDO","Power","","","","","","","","","","","","","","","","",""
"A14","VCAP","Power","","","","","","","","","","","","","","","","",""
"A15","VSS","Power","","","","","","","","","","","","","","","","",""
"B1","PE4","I/O","","","DEBUG_TRACED1","","SAI1_D2","DFSDM1_DATIN3","TIM15_CH1N","SPI4_NSS","SAI1_FS_A","","SAI4_FS_A","","SAI4_D2","","FMC_A20","DCMI_D4","LTDC_B0"
"B2","PE3","I/O","","","DEBUG_TRACED0","","","","TIM15_BKIN","","SAI1_SD_B","","SAI4_SD_B","","","","FMC_A19","",""
"B3","PB9","I/O","","","","TIM17_CH1","TIM4_CH4","DFSDM1_DATIN7","I2C1_SDA","I2S2_WS/SPI2_NSS","I2C4_SDA","SDMMC1_CDIR","UART4_TX","FDCAN1_TX","SDMMC2_D5","I2C4_SMBA","SDMMC1_D5","DCMI_D7","LTDC_B7"
"B4","PE0","I/O","","","","LPTIM1_ETR","TIM4_ETR","HRTIM_SCIN","LPTIM2_ETR","","","","UART8_RX","","SAI2_MCLK_A","","FMC_NBL0","DCMI_D2",""
"B5","PB7","I/O","","","","TIM17_CH1N","TIM4_CH2","HRTIM_EEV9","I2C1_SDA","","I2C4_SDA","USART1_RX","LPUART1_RX","","","DFSDM1_CKIN5","FMC_NL","DCMI_VSYNC",""
