"Position","Name","Type","Signal","Label","SPI1_REMAP1","TIM3_REMAP1","TIM2_REMAP1","TIM2_REMAP3","USART2_REMAP1","TIM9_REMAP1","CAN_REMAP1","I2C1_REMAP1","USART3_REMAP1","TIM1_REMAP1","USART1_REMAP1","CAN_REMAP2","TIM3_REMAP2","TIM11_REMAP1","TIM10_REMAP1","TIM14_REMAP1","TIM13_REMAP1","TIM1_REMAP2","USART3_REMAP2","TIM2_REMAP2","TIM4_REMAP1"
"A1","PC13-TAMPER-RTC","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"A2","PE3","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"A3","PE2","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"A4","PE1","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"A5","PE0","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"A6","PB4","I/O","","","SPI1_MISO","TIM3_CH1","","","","","","","","","","","","","","","","","","",""
"A7","PB3","I/O","","","SPI1_SCK","","TIM2_CH2","TIM2_CH2","","","","","","","","","","","","","","","","",""
"A8","PD6","I/O","","","","","","","USART2_RX","","","","","","","","","","","","","","","",""
"A9","PD7","I/O","","","","","","","USART2_CK","","","","","","","","","","","","","","","",""
"A10","PA15","I/O","","","SPI1_NSS","","TIM2_CH1/TIM2_ETR","TIM2_CH1/TIM2_ETR","","","","","","","","","","","","","","","","",""
"A11","PA14","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"A12","PA13","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"B1","PC14-OSC32_IN","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"B2","PE4","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"B3","PE5","I/O","","","","","","","","TIM9_CH1","","","","","","","","","","","","","","",""
"B4","PE6","I/O","","","","","","","","TIM9_CH2","","","","","","","","","","","","","","",""
"B5","PB9","I/O","","","","","","","","","CAN_TX","I2C1_SDA","","","","","","","","","","","","",""
"B6","PB5","I/O","","","SPI1_MOSI","TIM3_CH2","","","","","","","","","","","","","","","","","","",""
"B7","PG15","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"B8","PG12","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"B9","PD5","I/O","","","","","","","USART2_TX","","","","","","","","","","","","","","","",""
"B10","PC11","I/O","","","","","","","","","","","USART3_RX","","","","","","","","","","","",""
"B11","PC10","I/O","","","","","","","","","","","USART3_TX","","","","","","","","","","","",""
"B12","PA12","I/O","","","","","","","","","","","","TIM1_ETR","","","","","","","","","","",""
"C1","PC15-OSC32_OUT","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"C2","VBAT","Power","","","","","","","","","","","","","","","","","","","","","","",""
"C3","PF0","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"C4","PF1","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"C5","PB8","I/O","","","","","","","","","CAN_RX","I2C1_SCL","","","","","","","","","","","","",""
"C6","PB6","I/O","","","","","","","","","","","","","USART1_TX","","","","","","","","","",""
"C7","PG14","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"C8","PG11","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"C9","PD4","I/O","","","","","","","USART2_RTS","","","","","","","","","","","","","","","",""
"C10","PC12","I/O","","","","","","","","","","","USART3_CK","","","","","","","","","","","",""
"C11","NC","NC","","","","","","","","","","","","","","","","","","","","","","",""
"C12","PA11","I/O","","","","","","","","","","","","TIM1_CH4","","","","","","","","","","",""
"D1","OSC_IN","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"D2","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"D3","VDD","Power","","","","","","","","","","","","","","","","","","","","","","",""
"D4","PF2","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"D5","BOOT0","Boot","","","","","","","","","","","","","","","","","","","","","","",""
"D6","PB7","I/O","","","","","","","","","","","","","USART1_RX","","","","","","","","","",""
"D7","PG13","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"D8","PG10","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"D9","PD3","I/O","","","","","","","USART2_CTS","","","","","","","","","","","","","","","",""
"D10","PD1","I/O","","","","","","","","","","","","","","CAN_TX","","","","","","","","",""
"D11","PA10","I/O","","","","","","","","","","","","TIM1_CH3","","","","","","","","","","",""
"D12","PA9","I/O","","","","","","","","","","","","TIM1_CH2","","","","","","","","","","",""
"E1","OSC_OUT","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"E2","PF3","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"E3","PF4","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"E4","PF5","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"E5","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"E6","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"E7","VSS","Power","","","","","","","","","","","","","","","","","","","","","","",""
"E8","PG9","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"E9","PD2","I/O","","","","","","","","","","","","","","","","","","","","","","",""
"E10","PD0","I/O","","","","","","","","","","","","","","CAN_RX","","","","","","","","",""
"E11","PC9","I/O","","","","","","","","","","","","","","","TIM3_CH4","","","","","","","",""
