"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7"
"1","PC14-OSC32_IN","I/O","","","","","","","","","",""
"2","PC15-OSC32_OUT","I/O","","","","","","","","","",""
"3","NRST","Reset","","","","","","","","","",""
"4","VDDA","Power","","","","","","","","","",""
"5","PA0-CK_IN","I/O","","","USART2_RX","LPTIM1_IN1","TIM2_CH1","","USART2_CTS","TIM2_ETR","LPUART1_RX","COMP1_OUT"
"6","PA1","I/O","","","EVENTOUT","LPTIM1_IN2","TIM2_CH2","I2C1_SMBA","USART2_DE/USART2_RTS","TIM21_ETR","LPUART1_TX",""
"7","PA4","I/O","","","SPI1_NSS","LPTIM1_IN1","LPTIM1_ETR","I2C1_SCL","USART2_CK","TIM2_ETR","LPUART1_TX","COMP2_OUT"
"8","PA5","I/O","","","SPI1_SCK","LPTIM1_IN2","TIM2_ETR","","","TIM2_CH1","",""
"9","PA6","I/O","","","SPI1_MISO","LPTIM1_ETR","","","LPUART1_CTS","","EVENTOUT","COMP1_OUT"
"10","PA7","I/O","","","SPI1_MOSI","LPTIM1_OUT","","","USART2_CTS","TIM21_ETR","EVENTOUT","COMP2_OUT"
"11","PB1","I/O","","","USART2_CK","SPI1_MOSI","LPTIM1_IN1","","LPUART1_DE/LPUART1_RTS","TIM2_CH4","",""
"12","VSS","Power","","","","","","","","","",""
"13","VDD","Power","","","","","","","","","",""
"14","PA9","I/O","","","RCC_MCO","I2C1_SCL","LPTIM1_OUT","","USART2_TX","TIM21_CH2","","COMP1_OUT"
"15","PA10","I/O","","","TIM21_CH1","I2C1_SDA","RTC_REFIN","","USART2_RX","TIM2_CH3","","COMP1_OUT"
"16","PA13","I/O","","","SYS_SWDIO","LPTIM1_ETR","","I2C1_SDA","","SPI1_SCK","LPUART1_RX","COMP1_OUT"
"17","PA14","I/O","","","SYS_SWCLK","LPTIM1_OUT","","I2C1_SMBA","USART2_TX","SPI1_MISO","LPUART1_TX","COMP2_OUT"
"18","PB6","I/O","","","USART2_TX","I2C1_SCL","LPTIM1_ETR","","","TIM2_CH3","LPUART1_TX",""
"19","PB7","I/O","","","USART2_RX","I2C1_SDA","LPTIM1_IN2","","","TIM2_CH4","LPUART1_RX",""
"20","PB9-BOOT0","I/O","","","","","","","","","",""
