"Position","Name","Type","Signal","Label","AF0","AF1","AF2","AF3","AF4","AF5","AF6","AF7","AF8","AF9","AF10","AF11","AF12","AF13","AF14"
"106","PA12","I/O","","","","TIM1_ETR","","","","","","USART1_RTS","","CAN1_TX","USB_OTG_FS_DP","","","","LTDC_R5"
"107","PA13","I/O","","","SYS_JTMS-SWDIO","","","","","","","","","","","","","",""
"108","VCAP2","Power","","","","","","","","","","","","","","","","",""
"109","VSS","Power","","","","","","","","","","","","","","","","",""
"110","VDD","Power","","","","","","","","","","","","","","","","",""
"111","PA14","I/O","","","SYS_JTCK-SWCLK","","","","","","","","","","","","","",""
"112","PA15","I/O","","","SYS_JTDI","TIM2_CH1/TIM2_ETR","","","","SPI1_NSS","I2S3_WS/SPI3_NSS","","","","","","","",""
"113","PC10","I/O","","","","","","","","","I2S3_CK/SPI3_SCK","USART3_TX","UART4_TX","QUADSPI_BK1_IO1","","","SDIO_D2","DCMI_D8","LTDC_R2"
"114","PC11","I/O","","","","","","","","I2S3_ext_SD","SPI3_MISO","USART3_RX","UART4_RX","QUADSPI_BK2_NCS","","","SDIO_D3","DCMI_D4",""
"115","PC12","I/O","","","SYS_TRACED3","","","","","","I2S3_SD/SPI3_MOSI","USART3_CK","UART5_TX","","","","SDIO_CK","DCMI_D9",""
"116","PD0","I/O","","","","","","","","","","","","CAN1_RX","","","FMC_D2/FMC_DA2","",""
"117","PD1","I/O","","","","","","","","","","","","CAN1_TX","","","FMC_D3/FMC_DA3","",""
"118","PD2","I/O","","","SYS_TRACED2","","TIM3_ETR","","","","","","UART5_RX","","","","SDIO_CMD","DCMI_D11",""
"119","PD3","I/O","","","","","","","","I2S2_CK/SPI2_SCK","","USART2_CTS","","","","","FMC_CLK","DCMI_D5","LTDC_G7"
"120","PD4","I/O","","","","","","","","","","USART2_RTS","","","","","FMC_NOE","",""
"121","PD5","I/O","","","","","","","","","","USART2_TX","","","","","FMC_NWE","",""
"122","VSS","Power","","","","","","","","","","","","","","","","",""
"123","VDD","Power","","","","","","","","","","","","","","","","",""
"124","PD6","I/O","","","","","","","","I2S3_SD/SPI3_MOSI","SAI1_SD_A","USART2_RX","","","","","FMC_NWAIT","DCMI_D10","LTDC_B2"
"125","PG9","I/O","","","","","","","","","","","USART6_RX","QUADSPI_BK2_IO2","","","FMC_NCE/FMC_NE2","DCMI_VSYNC",""
"126","PG10","I/O","","","","","","","","","","","","LTDC_G3","","","FMC_NE3","DCMI_D2","LTDC_B2"
"127","PG11","I/O","","","","","","","","","","","","","","","","DCMI_D3","LTDC_B3"
"128","PG12","I/O","","","","","","","","","","","USART6_RTS","LTDC_B4","","","FMC_NE4","","LTDC_B1"
"129","VSS","Power","","","","","","","","","","","","","","","","",""
"130","VDD","Power","","","","","","","","","","","","","","","","",""
"131","PG15","I/O","","","","","","","","","","","USART6_CTS","","","","FMC_SDNCAS","DCMI_D13",""
"132","PB3","I/O","","","SYS_JTDO-SWO","TIM2_CH2","","","","SPI1_SCK","I2S3_CK/SPI3_SCK","","","","","","","",""
